Word,Article,Plural
45-kilometerwagentje,Het,45 kilometerwagentjes
50-meterbad,Het,50 meterbaden
1-aprilgrap,De,1 aprilgrappen
3d-echografie,De,
40-urenweek,De,40 urenweken
1-meiviering,De,1 meivieringen
5-eurobiljet,Het,5 eurobiljetten
3d-visualisatie,De,3D-visualisaties
3d-techniek,De,3D-technieken
500cc-wedstrijd,De,500cc-wedstrijden
24-uursluier,De,24 uursluiers
45-kilometerwagen,De,45 kilometerwagens
06-prostitutie,De,
15km-wedstrijd,De,15km-wedstrijden
30-kilometerzone,De,30 kilometerzones
1-euromaaltijd,De,1 euromaaltijden
45-km-wagen,De,45 km-wagens
8-uurjournaal,Het,8 uurjournalen/8 uurjournaals
3d-scan,De,3D-scans
11-septembereffect,Het,11 septembereffecten
65-kaart,De,65+-kaarten
20-eurobiljet,Het,20 eurobiljetten
4g-verbinding,De,4G-verbindingen
20-wekenecho,De,20 wekenecho&#039;s
1-literwagen,De,1 literwagens
06-nummer,Het,06-nummers
1-literauto,De,1 literauto&#039;s
1-eurostuk,Het,1 eurostukken
4wd,De,
3d-monitor,De,3D-monitors/3D-monitoren
4g-frequentie,De,4G-frequenties
45-plusser,De,45-plussers
3-oktober,De,3 oktobers
24-uursservice,De,
4-4-2,Het,
4g-netwerk,Het,4G-netwerken
24-uursschool,De,24 uursscholen
3d-printer,De,3D-printers
11-julifeest,Het,11 julifeesten
80-kilometervak,Het,80 kilometervakken
2-eurostuk,Het,2 eurostukken
65-plusser,De,65-plussers
100-procentscontrole,De,100 procentscontroles
5-3-2-systeem,Het,5-3-2-systemen
0-meting,De,0-metingen
11-juliviering,De,11 julivieringen
3d-beeld,Het,3D-beelden
5g,Het,
3d-foodprinter,De,3D-foodprinters
4-3-3,Het,
4x4,De,
100-eurobiljet,Het,100 eurobiljetten
2-42-omroep,De,2.42-omroepen
1-meifeest,Het,1 meifeesten
10-logaritme,Het,10-logaritmen/10-logaritmes
5-3-2,De/Het,
3d-scherm,Het,3D-schermen
250cc-wedstrijd,De,250cc-wedstrijden
500-eurobiljet,Het,500 eurobiljetten
55-plusser,De,55-plussers
3g,Het,
3d-scanner,De,3D-scanners
125cc-wedstrijd,De,125cc-wedstrijden
06-dealer,De,06-dealers
24-urenstaking,De,24 urenstakingen
30-kilometergebied,Het,30 kilometergebieden
45-km-auto,De,45 km-auto&#039;s
24-uursstaking,De,24 uursstakingen
4g,Het,
90-jarige,De,90-jarigen
3d-voedselprinter,De,3D-voedselprinters
0-fase,De,0-fasen
3d-echo,De,3D-echo&#039;s
4-4-2-systeem,Het,4-4-2-systemen
50-eurobiljet,Het,50 eurobiljetten
100-procentsdrugscontrole,De,100 procentsdrugscontroles
65-plushypotheek,De,65 plushypotheken
24-uurseconomie,De,24 uurseconomieën
2-euromunt,De,2 euromunten
1-5-metereconomie,De,"1,5 metereconomieën"
112-alarmcentrale,De,112-alarmcentrales
112-alarm,Het,112-alarmen
3d-schaats,De,3D-schaatsen
1-euromunt,De,1 euromunten
4-3-3-systeem,Het,4-3-3-systemen
419-fraude,De,419-fraudes
24-uursdienst,De,24 uursdiensten
80-jarige,De,80-jarigen
10-eurobiljet,Het,10 eurobiljetten
80-20-procentregeling,De,80-20-procentregelingen
25-meterbad,Het,25 meterbaden
45-kilometerauto,De,45 kilometerauto&#039;s
21-juliviering,De,21 julivieringen
a,De,a&#039;s
3-oktobertrui,De,3 oktobertruien
1-5-metersamenleving,De,"1,5 metersamenlevingen"
1-5-metermaatschappij,De,"1,5 metermaatschappijen"
45-km-wagentje,Het,45 km-wagentjes
112-centrale,De,112-centrales
200-eurobiljet,Het,200 eurobiljetten
aanblazing,De,aanblazingen
aai,De,aaien
aalscholver,De,aalscholvers
aanbesteding,De,aanbestedingen
a-u-b-aanduiding,De,a.u.b.-aanduidingen
aalsmeerse,De,Aalsmeersen
aalstse,De,Aalstsen
aalkuip,De,aalkuipen
aalmoezenier,De,aalmoezeniers
aalfuik,De,aalfuiken
aanbiedersmarkt,De,aanbiedersmarkten
aalsvel,Het,aalsvellen
a-capellagroep,De,a-capellagroepen
aanbestedingsregel,De,aanbestedingsregels
aanbevelingsbrief,De,aanbevelingsbrieven
aagtappel,De,aagtappelen
a-snaar,De,a-snaren
aalbes,De,aalbessen
a-team,Het,A-teams
a-diploma,Het,A-diploma&#039;s
a-priori,Het,a priori&#039;s
aanbedene,De,aanbedenen
aanbieding,De,aanbiedingen
aanbidding,De,aanbiddingen
aanbod,Het,
aagt,De,aagten
aaltje,Het,aaltjes
aalbessenstruik,De,aalbessenstruiken
aanbaksel,Het,aanbaksels
aanbidster,De,aanbidsters
aanbiddingszanger,De,aanbiddingszangers
aanbestedingsregeling,De,aanbestedingsregelingen
a-attest,Het,A-attesten
aalbessenjenever,De,aalbessenjenevers
aaltense,De,Aaltensen
a-selectie,De,A-selecties
aalbessengelei,De,aalbessengeleien
a-elftal,Het,A-elftallen
aaibaarheid,De,aaibaarheden
a-capellakoor,Het,a-capellakoren
aambeeld,Het,aambeelden
aanbiedingsprijs,De,aanbiedingsprijzen
